Episode 0 ends, instant reward is 107.67
Episode 1 ends, instant reward is 108.35
Episode 1 ends, instant reward is 108.35
Episode 2 ends, instant reward is 108.03
Episode 3 ends, instant reward is 106.44
Episode 4 ends, instant reward is 88.09
Episode 5 ends, instant reward is 67.53
Episode 6 ends, instant reward is 85.77
Episode 7 ends, instant reward is 89.94
Episode 8 ends, instant reward is 82.06
Episode 9 ends, instant reward is 97.29
Episode 10 ends, instant reward is 73.94
Episode 11 ends, instant reward is 75.70
Episode 11 ends, instant reward is 75.70
Episode 12 ends, instant reward is 84.40
Episode 13 ends, instant reward is 73.06
Episode 14 ends, instant reward is 86.03
Episode 15 ends, instant reward is 113.54
Episode 16 ends, instant reward is 80.70
Episode 17 ends, instant reward is 80.66
Episode 18 ends, instant reward is 119.09
Episode 19 ends, instant reward is 99.59
Episode 20 ends, instant reward is 88.70
Episode 21 ends, instant reward is 107.50
Episode 21 ends, instant reward is 107.50
Episode 22 ends, instant reward is 80.65
Episode 23 ends, instant reward is 92.03
Episode 24 ends, instant reward is 89.91
Episode 25 ends, instant reward is 105.62
Episode 26 ends, instant reward is 76.04
Episode 27 ends, instant reward is 110.19
Episode 28 ends, instant reward is 73.58
Episode 29 ends, instant reward is 81.05
Episode 30 ends, instant reward is 71.73
Episode 31 ends, instant reward is 51.22
Episode 31 ends, instant reward is 51.22
Episode 32 ends, instant reward is 84.81
Episode 33 ends, instant reward is 72.63
Episode 34 ends, instant reward is 63.58
Episode 35 ends, instant reward is 66.74
Episode 36 ends, instant reward is 51.46
Episode 37 ends, instant reward is 58.91
Episode 38 ends, instant reward is 52.41
Episode 39 ends, instant reward is 63.96
Episode 40 ends, instant reward is 61.90
Episode 41 ends, instant reward is 59.28
Episode 41 ends, instant reward is 59.28
Episode 42 ends, instant reward is 65.88
Episode 43 ends, instant reward is 61.44
Episode 44 ends, instant reward is 58.78
Episode 45 ends, instant reward is 46.85
Episode 46 ends, instant reward is 79.68
Episode 47 ends, instant reward is 47.75
Episode 48 ends, instant reward is 42.53
Episode 49 ends, instant reward is 66.18
Episode 50 ends, instant reward is 54.17
Episode 51 ends, instant reward is 53.96
Episode 51 ends, instant reward is 53.96
Episode 52 ends, instant reward is 59.73
Episode 53 ends, instant reward is 55.61
Episode 54 ends, instant reward is 53.63
Episode 55 ends, instant reward is 43.11
Episode 56 ends, instant reward is 48.25
Episode 57 ends, instant reward is 54.45
Episode 58 ends, instant reward is 52.00
Episode 59 ends, instant reward is 51.56
Episode 60 ends, instant reward is 56.60
Episode 61 ends, instant reward is 57.23
Episode 61 ends, instant reward is 57.23
Episode 62 ends, instant reward is 44.23
Episode 63 ends, instant reward is 49.24
Episode 64 ends, instant reward is 41.48
Episode 65 ends, instant reward is 50.59
Episode 66 ends, instant reward is 50.36
Episode 67 ends, instant reward is 45.92
Episode 68 ends, instant reward is 41.29
Episode 69 ends, instant reward is 55.12
Episode 70 ends, instant reward is 43.88
